genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,duration_mins
21st century classical,0.7546,0.2841,0.15958,0.48437399999999997,0.16858,-22.1534,0.06206,91.351,0.14338,0.066,4,1,5.88
432hz,0.4855146666666666,0.31199999999999994,0.3916783333333333,0.4772503333333334,0.26594,-18.131266666666665,0.07171666666666666,118.90093333333333,0.2364833333333333,0.41200000000000003,11,1,17.46
8-bit,0.0289,0.6729999999999999,0.95,0.63,0.069,-7.899,0.292,192.81599999999997,0.997,0.0,5,1,2.22
[],0.5357927015701375,0.5469369863624278,0.4854298914390353,0.2784420095304964,0.2209695039949705,-11.624753757749549,0.10151057493267944,116.06897995725546,0.486361119786675,0.12350770065284551,7,1,4.16
a cappella,0.6942764402427637,0.5161721621982125,0.33053253501400565,0.036079901951914094,0.2229827937841804,-12.656546985460851,0.08362742230225424,105.50603098572763,0.454077064158997,0.3908624783246632,7,1,3.36
abstract,0.411262,0.4736,0.4794000000000001,0.8413999999999999,0.09716,-15.7994,0.045299999999999986,142.4954,0.27426,0.43799999999999994,5,1,6.1
abstract beats,0.45899999999999996,0.669,0.735,0.0,0.10300000000000001,-7.2639999999999985,0.32899999999999996,117.28399999999999,0.723,0.62,10,1,2.91
abstract hip hop,0.2973526982734126,0.7252736374522089,0.7268439785439786,0.09918683434438194,0.26893788324931184,-7.257105391841106,0.22443688415616989,107.5887732311018,0.6390508681108681,0.21050865608008465,1,1,3.8
abstract idm,0.995,0.174,0.0029100000000000003,0.9309999999999999,0.0983,-37.518,0.0399,67.56,0.0328,0.46,0,1,9.68
accordeon,0.59875,0.4420000000000001,0.3140000000000001,0.607,0.191675,-12.17425,0.042475,139.8195,0.5115,0.3525,2,1,2.76
accordion,0.44446875,0.6255,0.3713437500000001,0.193737946875,0.16089375,-14.48209375,0.08058437500000001,112.7196875,0.6585625,0.209375,2,1,2.76
acid house,0.045358315,0.70091,0.762467,0.4314987699999999,0.1808485,-9.505465,0.059125,127.60202,0.5772099999999999,0.32735,8,0,5.07
acid jazz,0.32779111111111114,0.6816851851851853,0.693574074074074,0.2938795185185186,0.09972407407407408,-8.897722222222223,0.05300740740740741,112.92003703703705,0.7863407407407408,0.2885185185185185,7,0,4.82
acid rock,0.22065885580022013,0.4591240264995974,0.5948952725008898,0.16075681929968155,0.2290525545104085,-11.27382881095568,0.07126933394174158,129.13527835123259,0.56070692734348,0.2979191362307736,2,1,4.23
acid techno,0.004105233333333335,0.6758333333333333,0.8593333333333333,0.8613333333333334,0.263,-7.938333333333333,0.1073,131.0135,0.5338333333333333,0.016666666666666666,7,1,6.69
acid trance,0.003425,0.545,0.8775,0.8170000000000001,0.1765,-8.289000000000001,0.18895,135.381,0.48100000000000004,0.4,7,1,2.42
acousmatic,0.9327945011337868,0.4041812409812409,0.18268431689342404,0.6863879072472171,0.21091761878994025,-21.225812989589773,0.07575615079365079,98.76970338589979,0.21628167259327974,0.05658098845598847,5,1,4.03
acoustic blues,0.7408197051074915,0.6026744551316866,0.3659271055241369,0.10518842766503002,0.1686471707455953,-12.528313381831412,0.06737521228440994,114.69287909793293,0.6358454287505536,0.22238190928721585,9,1,3.36
acoustic chill,1.32e-05,0.39299999999999996,0.706,5.92e-06,0.873,-5.409,0.0488,128.181,0.155,0.23,1,1,0.99
acoustic guitar cover,0.977,0.397,0.275,0.912,0.11900000000000001,-17.178,0.0493,168.18099999999995,0.499,0.05,4,0,4.04
acoustic pop,0.4381176117841933,0.5528025231836704,0.5126792460875234,0.0929070310108316,0.18112403644909167,-9.426489138127677,0.04673542774294368,121.12782439102348,0.3920583922050303,0.4674553708891674,2,1,3.87
acoustic punk,0.1173539375,0.5693958333333332,0.7185868055555557,0.4010075720833333,0.18872673611111115,-10.464649305555554,0.06976527777777779,117.26434027777776,0.5490173611111112,0.21555555555555558,11,1,3.41
acoustic rock,0.3442619047619048,0.562047619047619,0.7094285714285714,0.2079528026190476,0.12330714285714285,-5.97004761904762,0.062461904761904774,121.93550000000002,0.7410571428571429,0.4297619047619048,8,1,3.42
action rock,0.4954368333333334,0.5680000000000001,0.4641666666666667,0.103000185,0.20850000000000005,-11.764333333333335,0.04183333333333333,106.39883333333334,0.5886666666666668,0.0,11,1,3.03
adoracao,0.000579,0.645,0.813,0.542,0.0752,-8.556000000000001,0.0449,117.01299999999999,0.488,0.0,10,0,8.37
adoracion,0.3764654285714285,0.5696428571428571,0.5800714285714285,0.025857142857142856,0.2225,-6.9107142857142865,0.0493,134.91449999999998,0.4061428571428571,0.42857142857142855,7,1,4.88
adult standards,0.6215598021374321,0.5043021630377027,0.4138973315089596,0.1310565899528388,0.19868045816144667,-11.836470137177026,0.05800934084490186,114.21955077043756,0.4995589152962626,0.3015496911571827,7,1,3.33
adventista,0.7779460317460316,0.5323174603174604,0.3217936507936508,7.459682539682543e-06,0.13938253968253966,-9.31231746031746,0.028969841269841274,113.6516507936508,0.5205714285714286,0.2706349206349206,6,1,3.37
afghan pop,0.5016999999999999,0.6089999999999999,0.5738999999999999,0.00124603,0.08186,-11.054,0.09149,111.3922,0.7716000000000001,0.35600000000000004,1,1,5.34
afghan traditional,0.958,0.4403333333333333,0.32366666666666666,0.4007066666666667,0.17766666666666667,-14.49766666666667,0.14603333333333332,94.06966666666666,0.7106666666666666,0.08333333333333334,1,1,4.64
african gospel,0.5546666666666668,0.6353333333333334,0.8300000000000001,0.03816166666666667,0.303,-6.063,0.0441,119.58,0.8186666666666667,0.14,2,1,5.66
african percussion,0.243875,0.69825,0.8290416666666667,0.11800948333333333,0.08435000000000001,-6.198708333333332,0.13486666666666666,132.281875,0.613875,0.07916666666666668,8,1,3.7
african reggae,0.2433892857142857,0.7485357142857142,0.6706428571428571,0.003500856428571428,0.11663571428571427,-7.299357142857143,0.061014285714285715,114.7374642857143,0.7684642857142856,0.4542857142857143,7,1,4.42
african rock,0.1328273375,0.6715416666666668,0.657,0.09392946250000002,0.16649583333333334,-8.653791666666667,0.0693,116.94695833333333,0.6463333333333333,0.4266666666666667,8,1,3.99
african-american classical,0.7038157578558227,0.5426108133086875,0.26423564695009233,0.5225139002634012,0.12486455637707952,-17.49010027726432,0.07962324399260629,119.139,0.3826731053604435,0.40870609981515715,5,1,3.9
afrikaans,0.0144,0.371,0.618,0.0,0.8240000000000001,-5.468,0.0348,97.898,0.43799999999999994,0.14,7,1,5.29
afro dancehall,0.2711797743333333,0.6366333333333334,0.6758666666666666,0.005641167000000001,0.18349666666666667,-6.5973500000000005,0.12901833333333335,124.99301666666665,0.6105499999999999,0.2658333333333333,1,1,3.68
afro house,0.08116867,0.7537999999999999,0.5833999999999999,0.5206984,0.09978,-9.9689,0.09751,126.3624,0.5399,0.26,10,1,6.53
